"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","62/1644","143/9376",0.433566433566434,2.47270004934238,8.18279223640128,3.80788618102955e-13,1.32133650481725e-10,1.03013341949957e-10,"H2AX/SNRPB/H2AZ1/C1R/H2AC13/H3C2/H4C14/H4C15/H3C15/SNRPD1/H3C14/H2AC17/H2AC12/H4C8/C8A/H2BC11/H3C3/H2BC8/H2BC17/H3C10/H2AC19/C1S/H2AC18/H3C4/H2BC18/H3C13/H2BC15/H2AC7/H2BC7/H2AC4/C6/H2AC14/H2AC16/C9/H4C4/H4C1/H4C5/H2AC11/H2BC21/H2AC20/H2AC8/H2BC9/C8B/H4C9/H2BC13/H3C11/H2BC6/H2AC15/H3C8/H2AC25/H3C1/H3C12/C7/H2BC3/H3C7/H2BC26/H4C2/GRIN2B/GRIN2A/H2BC10/H2BC14/H4C13",62
NA,NA,"hsa04082","Neuroactive ligand signaling","74/1644","199/9376",0.371859296482412,2.12077418723789,7.36859885986131,2.09321795162256e-11,3.63173314606514e-09,2.8313527029842e-09,"GABRD/CHRM4/ADRA2B/GNG4/PLCB1/HTR1D/ADRA1A/SLC6A9/GNAO1/CHRM3/GABRQ/P2RY13/SLC6A13/GABRE/P2RY12/ADRA1B/HTR2A/SLC1A3/GABRA3/SLC6A12/HTR4/ADRA1D/CHRNA3/ADRA2C/CHRNB4/GRIA2/GABRA2/ADCY1/SLC5A7/GNG13/GABRR3/HTR1B/CHRM2/HTR1F/GRIN1/SLC6A3/SLC1A1/CHRFAM7A/TAC3/SLC17A8/HTR3B/GRIK4/GRM5/GABBR2/PLCB4/SLC6A2/ADRB1/GRIN2D/CHRNA7/ADORA1/GRIN2B/GRIK2/SLC1A2/GRIA4/GRIK3/GABRR1/DRD1/OPRD1/GNGT1/GRIN2A/ADCY8/CHRNA4/HTR2C/GABRB1/GABRA5/SLC1A7/GLRA3/HTR3A/CHRNA6/GABRB2/GABRG3/GRM4/GABRG2/TACR3",74
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","115/1644","370/9376",0.310810810810811,1.77260472150983,6.99170137473965,6.04900878560056e-11,6.99668682867798e-09,5.45472020315559e-09,"APLN/PTH1R/VIPR1/GABRD/CHRM4/ADRA2B/PMCH/ADM2/NPY1R/TBXA2R/NMB/GHR/HTR1D/ADRA1A/GRPR/MTNR1B/TSHR/EDNRB/CHRM3/GABRQ/GLP1R/P2RY13/CHRNA5/GABRE/NMUR1/PTGDR/NTS/PTGFR/F2RL3/ADRA1B/GPR35/CHRNA1/HTR2A/SSTR5/RXFP1/PLG/NPBWR1/GABRA3/HTR4/CRHR2/ADRA1D/VGF/NPY5R/CHRNA3/KISS1R/UCN2/GLP2R/ADRA2C/CHRNB4/GHRHR/AVPR1A/GRIA2/GABRA2/CNR1/NPFFR2/PTH2R/CALCR/GABRR3/HTR1B/CHRM2/HTR1F/GPR83/FPR2/GRIN1/MCHR1/CHRFAM7A/KISS1/TAC3/BDKRB1/PTGER3/GRIK4/GRM5/GABBR2/CHRND/GAL/ADRB1/GCGR/GRIN2D/OXT/LPAR4/CHRNA7/PRSS3/ADORA1/GRIN2B/GRIK2/GRIA4/GRIK3/GABRR1/DRD1/OPRD1/GRIN2A/GPR156/PYY/NPSR1/FSHR/LYPD6/CHRNA4/HTR2C/GABRB1/CGA/LEP/GABRA5/LPAR3/UTS2R/EDN2/GLRA3/NMU/CHRNA6/GABRB2/GABRG3/GRM4/QRFPR/GABRG2/TACR3/GRID2",115
"Human Diseases","Substance dependence","hsa05034","Alcoholism","69/1644","191/9376",0.361256544502618,2.06030496426797,6.82650669000425,4.41308624772687e-10,3.82835231990306e-08,2.98463990964686e-08,"H2AX/HDAC11/GNG4/H2AZ1/H2AC13/H3C2/H4C14/H4C15/TH/H3C15/H3C14/H2AC17/H2AC12/H4C8/H2BC11/H3C3/H2BC8/H2BC17/GNAO1/H3C10/H2AC19/H2AC18/H3C4/H2BC18/H3C13/H2BC15/H2AC7/H2BC7/H2AC4/H2AC14/H2AC16/H4C4/H4C1/H4C5/H2AC11/PPP1R1B/H2BC21/H2AC20/CREB3L1/H2AC8/H2BC9/H4C9/FOSB/H2BC13/PKIA/H3C11/H2BC6/H2AC15/H3C8/H2AC25/H3C1/H3C12/H2BC3/SHC3/GNG13/GRIN1/SLC6A3/H3C7/GRIN2D/H2BC26/H4C2/GRIN2B/DRD1/GNGT1/GRIN2A/H2BC10/H2BC14/SHC4/H4C13",69
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","60/1644","158/9376",0.379746835443038,2.16575810773353,6.81411185497896,6.47082734832453e-10,4.49075417973722e-08,3.50105816530401e-08,"CCNB1/CDCA5/BUB1B/CDK1/PTTG1/CDC20/NDC80/BUB1/CCNB2/E2F1/TTK/TRIP13/MCM4/MCM3/CDC6/TICRR/ORC1/CCNA2/AURKB/CDKN2C/CDC25A/CDC45/CCNE2/CDKN2A/CDT1/PLK1/CCNE1/MCM2/E2F2/MAD2L1/MTBP/PKMYT1/MCM6/ORC6/CHEK1/SFN/SGO1/ESCO2/CDKN2B/CDC25C/PRKDC/DBF4/MCM7/CDC7/MCM5/YWHAZ/PCNA/RAD21/KNL1/E2F3/CDK4/RBL1/GADD45B/GADD45A/SMC1B/E2F5/GADD45G/DDX11/ESPL1/TGFB2",60
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","42/1644","103/9376",0.407766990291262,2.32556161859542,6.23733435556175,2.1873728719334e-08,1.20370208331551e-06,9.38423890223226e-07,"MEP1A/COL15A1/COL2A1/COL25A1/SLC38A2/COL11A1/COL6A6/COL4A1/COL24A1/COL1A1/COL4A2/COL8A1/COL9A1/COL5A2/COL7A1/COL1A2/KCNE3/COL22A1/SLC1A5/ATP1B3/COL21A1/PGA3/COL4A5/PGA4/COL9A2/MEP1B/CPB2/COL4A6/SLC1A1/COL6A3/COL3A1/ATP1A4/COL5A1/PGA5/PRSS3/COL5A3/COL16A1/COL17A1/SLC8A2/CPA2/CPA1/SLC36A2",42
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","35/1644","79/9376",0.443037974683544,2.52671779235579,6.28335386844908,2.64415925657079e-08,1.20370208331551e-06,9.38423890223226e-07,"CYP2B6/CYP2C9/ADH4/UGT2B7/ALDH3A1/ADH6/CYP1A2/UGT2B10/ADH1A/ADH1B/GSTA4/CBR3/ADH1C/AKR7A3/UGT2B11/DHDH/AKR7L/CYP2E1/CYP2A7/CYP2D7/CYP1A1/CYP2A6/ADH7/CYP2D6/UGT2B28/GSTM2/SULT2A1/CYP3A4/HSD11B1/GSTM5/GSTA2/UGT2A1/UGT2A2/CYP2A13/GSTM1",35
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","23/1644","41/9376",0.560975609756098,3.19933535101774,6.50753996974776,2.77510566758619e-08,1.20370208331551e-06,9.38423890223226e-07,"GABRD/GABRQ/GABRE/GABRA3/GRIA2/GABRA2/GABRR3/GRIN1/CHRFAM7A/SLC17A8/GRIN2D/CHRNA7/GRIN2B/GRIA4/GABRR1/GRIN2A/CHRNA4/GABRB1/GABRA5/CHRNA6/GABRB2/GABRG3/GABRG2",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","37/1644","89/9376",0.415730337078652,2.37097788348506,5.992090327743,8.23920041174165e-08,3.17666949208261e-06,2.47657836937731e-06,"ITGA6/HMMR/LAMC1/SPP1/THBS4/COL2A1/LAMA4/COL6A6/ITGA9/COL4A1/LAMA3/ITGA2/COL1A1/COMP/COL4A2/COL9A1/COL1A2/LAMB4/ITGA11/VWF/SV2C/DMP1/LAMB3/COL4A5/COL9A2/GP1BB/ITGB4/FREM2/IBSP/COL4A6/COL6A3/DSPP/ITGB6/THBS2/FRAS1/SV2B/MEPE",37
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","64/1644","195/9376",0.328205128205128,1.87180734917961,5.67261696974301,1.30409741466642e-07,4.52521802889249e-06,3.52792669020285e-06,"H2AX/HDAC11/H2AZ1/H2AC13/H3C2/H4C14/H4C15/PLCB1/H3C15/H3C14/H2AC17/H2AC12/H4C8/H2BC11/H3C3/H2BC8/PADI4/H2BC17/H3C10/PIK3R2/MAPK12/H2AC19/H2AC18/H3C4/H2BC18/H3C13/H2BC15/H2AC7/H2BC7/H2AC4/H2AC14/H2AC16/H4C4/H4C1/H4C5/H2AC11/H2BC21/H2AC20/H2AC8/H2BC9/H4C9/FGB/H2BC13/H3C11/H2BC6/H2AC15/VWF/H3C8/FGA/H2AC25/FGG/H3C1/H3C12/H2BC3/FPR2/H3C7/PLCB4/H2BC26/H4C2/SELP/CR1/H2BC10/H2BC14/H4C13",64
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","73/1644","233/9376",0.313304721030043,1.78682789803995,5.60794793296823,1.44979628643352e-07,4.57344828538575e-06,3.56552770921929e-06,"ITGA6/DIAPH3/LMNB1/THBS4/LMNB2/FLNC/COL11A1/COL6A6/ITGA9/COL4A1/NEB/TRIM54/COL24A1/ITGA2/MYOM2/COL1A1/MYL3/COMP/COL4A2/SYNE1/COL9A1/ENO1/COL5A2/DTNA/ACTN2/VCAN/DMD/MYH4/COL1A2/SGCE/TNNT1/SPTBN2/ITGA11/TNNC1/ATP1B3/ENO3/TPM2/ANK3/ACTG2/PDLIM7/COL4A5/COL9A2/TNNT2/TNNI3/FBN3/ITGB4/MYBPC1/COL4A6/DCN/AMPD1/MYBPHL/ANKRD1/XIRP1/ENO2/CKM/COL6A3/MYH13/COL3A1/ATP1A4/ITGB6/THBS2/COL5A1/MYH15/MYH1/COL5A3/SGCA/DES/TCAP/FBLN1/TNNI2/PDLIM4/MYH2/MYH8",73
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","30/1644","68/9376",0.441176470588235,2.51610133104337,5.78555624777231,2.9115715367767e-07,8.41929436051263e-06,6.56380600834748e-06,"LRAT/CYP26A1/RDH5/CYP2C8/CYP2B6/CYP2C9/ADH4/UGT2B7/ADH6/CYP1A2/UGT2B10/ADH1A/RDH16/ADH1B/ADH1C/RDH8/UGT2B11/CYP27C1/CYP2A7/CYP2C18/CYP1A1/HSD17B6/CYP2A6/ADH7/UGT2B28/AOX1/CYP26B1/CYP3A4/UGT2A1/UGT2A2",30
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","31/1644","73/9376",0.424657534246575,2.42189114421891,5.6235024808632,5.22652059236392e-07,1.3950789581156e-05,1.08762412326925e-05,"CYP2C8/CYP2B6/CYP2C9/ADH4/UGT2B7/ALDH3A1/CYP2C19/ADH6/CYP1A2/UGT2B10/ADH1A/ADH1B/GSTA4/ADH1C/UGT2B11/CYP2E1/CYP2A7/CYP2D7/CYP2A6/FMO1/ADH7/CYP2D6/UGT2B28/AOX1/GSTM2/CYP3A4/GSTM5/GSTA2/UGT2A1/UGT2A2/GSTM1",31
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","31/1644","76/9376",0.407894736842105,2.32629017799974,5.35296615389475,1.50156113133734e-06,3.72172651838612e-05,2.90151286280975e-05,"ACSL4/ACAA1/LPL/FABP5/ACSL1/GK/MMP1/PCK1/AQP7/ACOX2/PCK2/SCP2/APOA5/FABP4/FADS2/APOA1/EHHADH/SLC27A5/PLIN5/SLC27A2/ACADL/APOC3/ANGPTL4/FABP6/PLIN1/OLR1/HMGCS2/ME1/CYP8B1/FABP1/CYP7A1",31
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","29/1644","70/9376",0.414285714285714,2.36273896419882,5.27680191678356,2.23183259451214e-06,5.16297273530475e-05,4.02512966168155e-05,"NAT1/NAT2/CYP2C8/CYP2C9/UGT2B7/CYP2C19/SULT1A1/CYP1A2/UGT2B10/GSTA4/CYP3A43/UGT2B11/SULT1A2/CYP2E1/CYP2A7/CYP2C18/CYP1A1/CYP2A6/UGT2B28/GSTM2/SULT2A1/CYP3A4/HSD11B1/GSTM5/GSTA2/UGT2A1/UGT2A2/CYP2A13/GSTM1",29
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","30/1644","75/9376",0.4,2.28126520681265,5.1368332083813,3.5754850002127e-06,7.75433309421129e-05,6.04539240167541e-05,"PSPH/TKT/PYCR1/BCAT1/PKM/GOT2/MAT1A/ASS1/ALDOA/ENO1/CTH/CBS/ASL/GPT2/SHMT1/ALDOB/GLUL/ENO3/ASNS/GPT/TKTL1/PFKP/PAH/ENO2/ARG1/SDS/CPS1/OTC/PRPS1L1/TKTL2",30
"Organismal Systems","Digestive system","hsa04976","Bile secretion","33/1644","90/9376",0.366666666666667,2.0911597729116,4.79607409493723,1.09674690922287e-05,0.000223865398529608,0.000174528765120914,"KCNN2/ABCC4/SLC2A1/UGT2B7/UGT2B10/SLC51B/SLC5A1/UGT2B11/SLC4A4/CA2/SLC27A5/ATP1B3/NR0B2/SLC22A1/LDLR/SLC10A1/ADCY1/AQP8/NCEH1/UGT2B28/ABCG2/SULT2A1/SLCO1B3-SLCO1B7/SLCO1B3/CYP3A4/ATP1A4/CFTR/SLCO1B1/CYP7A1/ADCY8/SLC22A8/UGT2A1/UGT2A2",33
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","18/1644","37/9376",0.486486486486487,2.77451173801539,4.98677958534979,1.33993438333511e-05,0.00024471433211436,0.00019078290111752,"ASPA/GOT2/GAD1/ASS1/ASRGL1/GLUD1/ABAT/NAT8L/ASL/GPT2/GLS2/FOLH1/GLUL/AGXT/ASNS/GPT/AGXT2/CPS1",18
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","18/1644","37/9376",0.486486486486487,2.77451173801539,4.98677958534979,1.33993438333511e-05,0.00024471433211436,0.00019078290111752,"GSTZ1/TH/GOT2/DBH/ADH4/ALDH3A1/ADH6/ADH1A/ADH1B/ADH1C/TAT/TYRP1/HGD/ADH7/HPD/AOX1/PNMT/TPO",18
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","32/1644","88/9376",0.363636363636364,2.07387746073877,4.66686869615979,1.80653521535298e-05,0.000313433859863742,0.000244357658076693,"C1R/KLKB1/C8A/F11/MASP1/SERPING1/CFI/PLAU/C1S/C6/A2M/C9/SERPINF2/F9/C8B/F2RL3/FGB/SERPINE2/F13A1/PLG/MBL2/VWF/FGA/FGG/CFHR3/C7/CPB2/MASP2/BDKRB1/F12/CFHR4/CR1",32
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","21/1644","48/9376",0.4375,2.49513381995134,4.78847293907726,2.05354851034077e-05,0.00033658406341615,0.000262405898067498,"ALDH2/ACADS/ACAA1/BCKDHB/BCAT1/AACS/IVD/HMGCLL1/ECHS1/HMGCL/ACAA2/ALDH6A1/ABAT/ACAT1/MMUT/ACADSB/EHHADH/ALDH1B1/AGXT2/HMGCS2/AOX1",21
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","59/1644","201/9376",0.293532338308458,1.67406277614361,4.45436661967728,2.13396236171622e-05,0.00033658406341615,0.000262405898067498,"CCNA2/CDKN2C/ID2/MMP9/HMGA2/HOXA10/SIX4/NSD2/SIX1/H3C2/IGFBP3/H3C15/H3C14/ETV4/GADD45B/BAK1/H3C3/GADD45A/TLX1/PDGFA/PLAU/H3C10/MYCN/IGF1/H3C4/H3C13/CD14/NGFR/GADD45G/FOXO1/NUPR1/H3C11/H3C8/SSX4/MMP3/SSX4B/HOXA9/HOXA11/H3C1/SSX1/H3C12/TMPRSS2/IL2RB/BIRC3/FLT3/H3C7/DEFA1B/DEFA1/SSX2/SSX2B/DEFA3/NR4A3/SPINT1/ARNT2/EYA1/WT1/SSX3/SSX7/SSX5",59
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","13/1644","23/9376",0.565217391304348,3.22352692267005,4.92290511584482,2.81328353299151e-05,0.000424438863455676,0.000330898795413647,"GOT2/ASS1/GLUD1/ASL/GPT2/GLS2/GLUL/GPT/NOS2/ARG1/CPS1/OTC/NOS1",13
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","19/1644","43/9376",0.441860465116279,2.52000226333956,4.60636610230726,4.27999774804108e-05,0.000618816341070939,0.000482438342651999,"ALDH2/ACSL4/ACADS/ACAA1/GCDH/ACSL1/ECHS1/ADH4/ADH6/ACAA2/ADH1A/ADH1B/ACAT1/ACADSB/ADH1C/EHHADH/ACADL/ALDH1B1/ADH7",19
